#RMID    RA    DEC 
RM 472    212.77029      52.08800     
RM 473    213.79288      54.22701     
RM 474    213.41247      51.95153     
RM 475    215.42991      53.58336     
RM 476    215.41898      53.60118     
RM 477    212.11704      53.73719     
RM 478    211.86028      52.78624     
RM 479    215.51440      53.47472     
RM 480    211.96821      52.60619     
RM 481    212.06417      52.49618     
RM 482    212.54919      52.16727     
RM 483    213.16580      54.19153     
RM 484    211.79385      53.23268     
RM 485    214.80198      52.13834     
RM 486    212.42007      52.22701     
RM 487    215.52727      52.72159     
RM 488    215.41084      52.55684     
RM 489    215.33660      53.70994     
RM 490    212.74179      54.09332     
RM 491    212.33544      53.91265     
RM 492    212.97555      52.00650     
RM 493    215.16448      52.32457     
RM 494    215.42741      53.63122     
RM 495    212.02519      53.67961     
RM 496    212.75630      52.06727     
RM 497    215.65046      53.15644     
RM 498    215.64360      52.97723     
RM 499    212.51760      54.01917     
RM 500    212.63894      54.06985     
RM 501    214.39663      51.98855     
RM 502    212.24850      53.87380     
RM 503    214.05433      54.23754     
RM 504    213.95061      51.91592     
RM 505    213.15791      51.95086     
RM 506    213.40129      54.25034     
RM 507    212.49692      52.15335     
RM 508    215.37253      52.46445     
RM 509    215.64060      52.87219     
RM 510    212.08657      52.41231     
RM 511    211.98298      52.51120     
RM 512    213.22658      54.23634     
RM 513    215.43586      53.66981     
RM 514    212.43876      52.17604     
RM 515    214.53350      52.00647     
RM 516    215.65623      52.89330     
RM 517    215.20548      53.86989     
RM 518    215.59494      52.73168     
RM 519    214.30123      51.94598     
RM 520    214.85112      54.06352     
RM 521    215.68976      53.20104     
RM 522    215.17410      52.28379     
RM 523    215.58616      53.50150     
RM 524    213.79924      51.88218     
RM 525    212.37403      53.99166     
RM 526    212.04468      52.41463     
RM 527    215.61151      52.71296     
RM 528    211.69791      52.99893     
RM 529    213.32227      54.27074     
RM 530    215.15235      52.24863     
RM 531    215.37306      53.77595     
RM 532    211.98907      52.45618     
RM 533    211.95479      52.49008     
RM 534    215.23001      52.29829     
RM 535    215.50611      52.54729     
RM 536    212.59516      52.07098     
RM 537    211.83142      53.56409     
RM 538    214.52653      51.97254     
RM 539    214.56713      54.18889     
RM 540    211.77333      52.71411     
RM 541    214.71932      52.02856     
RM 542    212.28713      53.96806     
RM 543    215.06398      54.00405     
RM 544    214.19087      51.89233     
RM 545    211.68027      53.27211     
RM 546    214.86906      52.07761     
RM 547    214.77308      52.03820     
RM 548    213.97120      54.30458     
RM 549    214.13108      54.28882     
RM 550    215.32027      53.85403     
RM 551    212.94610      51.93883     
RM 552    214.70178      54.16560     
RM 553    215.75699      53.18349     
RM 554    214.95040      52.10293     
RM 555    215.67747      52.73769     
RM 556    215.63556      52.66056     
RM 557    215.48002      52.46375     
RM 558    213.19024      51.88250     
RM 559    215.75045      53.28189     
RM 560    214.70572      51.99734     
RM 561    212.22370      53.96584     
RM 562    213.72091      54.33124     
RM 563    215.30800      52.29639     
RM 564    215.77521      53.25807     
RM 565    211.64227      52.90219     
RM 566    215.78499      53.20904     
RM 567    215.06802      54.04089     
RM 568    211.67316      53.40438     
RM 569    215.43255      52.38581     
RM 570    215.53383      52.48574     
RM 571    215.63162      52.60166     
RM 572    214.54105      51.92545     
RM 573    215.67562      53.54776     
RM 574    215.19947      52.19966     
RM 575    212.41459      54.09232     
RM 576    212.57024      52.01939     
RM 577    215.78735      53.30325     
RM 578    215.72914      52.74027     
RM 579    211.59203      53.01723     
RM 580    215.77393      53.37392     
RM 581    214.81484      52.00389     
RM 582    214.69820      51.96233     
RM 583    211.87950      53.74645     
RM 584    212.01242      53.86507     
RM 585    214.03809      51.82397     
RM 586    211.60255      53.29439     
RM 587    215.47427      53.80941     
RM 588    215.76730      52.77505     
RM 589    215.20534      52.18147     
RM 590    215.69643      53.56007     
RM 591    212.47501      54.14101     
RM 592    212.52991      52.01425     
RM 593    214.09805      51.82018     
RM 594    214.76590      51.96688     
RM 595    211.55627      53.12848     
RM 596    211.86619      52.42526     
RM 597    215.25843      52.19783     
RM 598    213.06510      51.84927     
RM 599    215.21595      54.01807     
RM 600    211.57438      53.32513     
RM 601    212.26845      54.06229     
RM 602    211.62822      53.46479     
RM 603    212.44312      54.14798     
RM 604    211.72896      52.56158     
RM 605    215.55844      52.41889     
RM 606    212.65528      51.94504     
RM 607    211.70489      52.58214     
RM 608    211.82249      53.75559     
RM 609    214.97041      52.02135     
RM 610    212.19339      52.14535     
RM 611    215.75451      53.55328     
RM 612    215.71842      53.61357     
RM 613    212.53224      54.20095     
RM 614    212.26867      52.09696     
RM 615    212.79912      51.88694     
RM 616    212.73440      54.26905     
RM 617    215.72192      52.56420     
RM 618    214.10520      54.38678     
RM 619    212.12092      54.01881     
RM 620    211.78043      52.44346     
RM 621    211.70838      53.67312     
RM 622    212.81328      51.86916     
RM 623    214.36317      51.81558     
RM 624    211.88126      53.85187     
RM 625    215.66497      52.48133     
RM 626    212.25027      54.09685     
RM 627    214.70493      51.89899     
RM 628    215.17565      54.08856     
RM 629    215.91958      53.02865     
RM 630    214.66246      51.88153     
RM 631    211.47865      53.05655     
RM 632    214.15488      51.77420     
RM 633    215.90630      53.30803     
RM 634    212.89953      51.83459     
RM 635    211.86115      52.33701     
RM 636    212.76083      54.30490     
RM 637    215.37192      52.19813     
RM 638    214.47324      51.82179     
RM 639    215.35729      54.00306     
RM 640    211.62163      53.59879     
RM 641    213.52360      51.74054     
RM 642    211.46846      53.21590     
RM 643    215.33137      52.16659     
RM 644    215.75778      52.55463     
RM 645    215.16582      52.06659     
RM 646    212.05486      54.01259     
RM 647    215.82692      53.54793     
RM 648    212.26465      52.05199     
RM 649    211.47859      52.89651     
RM 650    215.18495      54.11223     
RM 651    215.45543      52.24106     
RM 652    214.00673      51.73739     
RM 653    215.94311      53.30204     
RM 654    215.97465      53.12296     
RM 655    211.85028      52.30797     
RM 656    212.19660      54.11497     
RM 657    212.00331      54.00249     
RM 658    212.31778      52.00615     
RM 659    213.86834      51.71907     
RM 660    215.92777      52.80876     
RM 661    214.99972      54.21537     
RM 662    212.39768      51.96899     
RM 663    215.94254      53.37013     
RM 664    213.00941      51.77736     
RM 665    214.02018      54.44441     
RM 666    215.45205      52.20906     
RM 667    215.25454      54.10459     
RM 668    211.47105      53.41337     
RM 669    211.45073      52.84471     
RM 670    213.89353      54.45847     
RM 671    211.53762      52.64208     
RM 672    216.00189      53.13897     
RM 673    213.13647      51.74511     
RM 674    215.97399      52.87638     
RM 675    212.18248      54.13091     
RM 676    212.26729      54.17326     
RM 677    215.70891      53.78194     
RM 678    215.26356      52.07418     
RM 679    213.85009      51.70171     
RM 680    214.91770      51.91034     
RM 681    215.64665      52.34975     
RM 682    215.90989      53.51595     
RM 683    214.62054      51.81274     
RM 684    213.36168      54.45933     
RM 685    215.90319      52.65912     
RM 686    212.30749      51.97822     
RM 687    211.38440      53.06709     
RM 688    212.87354      51.78382     
RM 689    211.42721      53.38987     
RM 690    211.56704      53.65725     
RM 691    213.24945      51.71209     
RM 692    215.78347      52.47100     
RM 693    215.18131      52.01075     
