# Mean_MJD=56660.209
# RMID=118 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.714
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0272
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -7.9471e+00  0.0000e+00    16777216    88080384
  3567.796 -7.9462e+00  5.3870e+00           0    71303168
  3721.345  1.7362e+01  1.6902e+00           0           0
  3722.202  2.2063e+01  1.7687e+00           0           0
  3723.059  2.1233e+01  1.7949e+00           0           0
  3723.917  1.7507e+01  1.6867e+00           0           0
  3724.774  1.8888e+01  1.7118e+00           0           0
  3725.632  1.8362e+01  1.7262e+00           0           0
  3726.490  1.7085e+01  1.7111e+00           0           0
  3727.348  1.9148e+01  1.7667e+00           0           0
  3728.207  2.0901e+01  1.7870e+00           0           0
  3729.065  2.0161e+01  1.7590e+00           0           0
  3729.924  2.0052e+01  1.7758e+00           0           0
  3730.783  2.2680e+01  1.7970e+00           0           0
  3731.642  1.8636e+01  1.7390e+00           0           0
  3732.501  1.6615e+01  1.6884e+00           0           0
  3733.361  1.8986e+01  1.7452e+00           0           0
  3734.221  2.1607e+01  1.7855e+00           0           0
  3735.081  2.0300e+01  1.7355e+00           0           0
  3735.941  1.7524e+01  1.6763e+00           0           0
  3736.801  1.7545e+01  1.6747e+00           0           0
  3737.662  1.7338e+01  1.6855e+00           0           0
  3738.522  1.8359e+01  1.7404e+00           0           0
  3739.383  1.9251e+01  1.7540e+00           0           0
  3740.244  1.7340e+01  1.7290e+00           0           0
  3741.106  1.7797e+01  1.7133e+00           0           0
  3741.967  1.6830e+01  1.6846e+00           0           0
  3742.829  2.0739e+01  1.7339e+00           0           0
  3743.691  2.3826e+01  1.7389e+00           0           0
  3744.553  2.2196e+01  1.7164e+00           0           0
  3745.415  1.9081e+01  1.6442e+00           0           0
  3746.278  1.7036e+01  1.5962e+00           0           0
  3747.140  1.8225e+01  1.6218e+00           0           0
  3748.003  1.9647e+01  1.6152e+00           0           0
  3748.867  1.8939e+01  1.5614e+00           0           0
  3749.730  1.6748e+01  1.5130e+00           0           0
  3750.593  1.6911e+01  1.5390e+00           0           0
  3751.457  2.2020e+01  1.6933e+00           0           0
  3752.321  1.9336e+01  1.6513e+00           0           0
  3753.185  1.7880e+01  1.6073e+00           0           0
  3754.049  2.0109e+01  1.6535e+00           0           0
  3754.914  2.0733e+01  1.6661e+00           0           0
  3755.779  1.7793e+01  1.6230e+00           0           0
  3756.643  2.1599e+01  1.6616e+00           0           0
  3757.509  2.0555e+01  1.6126e+00           0           0
  3758.374  1.9360e+01  1.5205e+00           0           0
  3759.239  1.9045e+01  1.5083e+00           0           0
  3760.105  1.8940e+01  1.5044e+00           0           0
  3760.971  1.9622e+01  1.5535e+00           0           0
  3761.837  2.1446e+01  1.5591e+00           0           0
  3762.703  2.2716e+01  1.5651e+00           0           0
  3763.570  1.9165e+01  1.4843e+00           0           0
  3764.437  1.7281e+01  1.4563e+00           0           0
  3765.303  1.9312e+01  1.4819e+00           0           0
  3766.170  2.0252e+01  1.5329e+00           0           0
  3767.038  1.9717e+01  1.5032e+00           0           0
  3767.905  2.0916e+01  1.5052e+00           0           0
  3768.773  1.8750e+01  1.4237e+00           0           0
  3769.641  1.8144e+01  1.4893e+00           0           0
  3770.509  1.9768e+01  1.4970e+00           0           0
  3771.377  1.9148e+01  1.5387e+00           0           0
  3772.246  2.0058e+01  1.5502e+00           0           0
  3773.114  1.9469e+01  1.5299e+00           0           0
  3773.983  1.9046e+01  1.5162e+00           0           0
  3774.852  2.1342e+01  1.5680e+00           0           0
  3775.722  2.2275e+01  1.5770e+00           0           0
  3776.591  1.8511e+01  1.5615e+00           0           0
  3777.461  2.0760e+01  1.5519e+00           0           0
  3778.331  1.8098e+01  1.5157e+00           0           0
  3779.201  2.0681e+01  1.5338e+00           0           0
  3780.071  2.0962e+01  1.5145e+00           0           0
  3780.942  1.8161e+01  1.4680e+00           0           0
  3781.812  1.9910e+01  1.4587e+00           0           0
  3782.683  1.7942e+01  1.5257e+00           0    33554432
  3783.554  1.7425e+01  1.5367e+00           0    33554432
  3784.426  2.1976e+01  1.5141e+00           0           0
  3785.297  1.9919e+01  1.4924e+00           0           0
  3786.169  1.5312e+01  1.3977e+00           0           0
  3787.041  2.0491e+01  1.4515e+00           0           0
  3787.913  1.9470e+01  1.4434e+00           0           0
