# Mean_MJD=56660.209
# RMID=081 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.584
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0238
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -2.6089e+00  6.3823e+00           0    71303168
  3567.796 -7.3965e+00  6.3699e+00           0    71303168
  3894.933  7.7453e+00  9.5434e-01           0           0
  3895.830  3.9869e+00  9.0500e-01           0           0
  3896.727  3.4666e+00  8.7777e-01           0           0
  3897.624  4.2879e+00  8.8864e-01           0           0
  3898.522  2.9182e+00  8.3272e-01           0           0
  3899.420  3.0433e+00  8.2519e-01           0           0
  3900.318  4.5447e+00  8.5711e-01           0           0
  3901.216  6.8636e+00  9.0119e-01           0           0
  3902.114  5.3388e+00  9.1149e-01           0           0
  3903.013  4.5880e+00  8.9425e-01           0           0
  3903.912  7.3334e+00  9.4076e-01           0           0
  3904.811  7.0581e+00  9.3600e-01           0           0
  3905.710  5.5860e+00  9.2955e-01           0           0
  3906.609  5.5150e+00  9.3521e-01           0           0
  3907.509  7.4461e+00  9.9326e-01           0           0
  3908.409  6.4963e+00  9.9666e-01           0           0
  3909.309  3.4703e+00  9.7000e-01           0           0
  3910.209  6.4830e+00  9.6135e-01           0           0
  3911.110  6.6329e+00  9.5958e-01           0           0
  3912.010  6.0065e+00  9.8993e-01           0           0
  3912.911  4.4681e+00  9.7393e-01           0           0
  3913.812  3.8633e+00  1.0285e+00           0           0
  3914.713  5.8962e+00  1.0752e+00           0           0
  3915.615  8.5219e+00  1.0787e+00           0           0
  3916.517  7.4322e+00  1.0182e+00           0           0
  3917.419  8.1930e+00  9.8876e-01           0           0
  3918.321  6.5778e+00  9.4681e-01           0           0
  3919.223  6.6698e+00  9.1741e-01           0           0
  3920.126  9.7424e+00  9.3149e-01           0           0
  3921.028  7.5390e+00  8.7286e-01           0           0
  3921.931  6.2077e+00  8.3790e-01           0           0
  3922.834  7.4427e+00  8.5131e-01           0           0
  3923.738  6.3737e+00  8.3738e-01           0           0
  3924.641  4.8949e+00  8.3536e-01           0           0
  3925.545  6.3799e+00  8.6998e-01           0           0
  3926.449  8.3921e+00  9.0383e-01           0           0
  3927.353  7.1119e+00  8.6035e-01           0           0
  3928.258  7.8178e+00  8.2644e-01           0           0
  3929.162  6.1922e+00  7.9141e-01           0           0
  3930.067  5.6157e+00  7.6478e-01           0           0
  3930.972  7.6695e+00  7.9859e-01           0           0
  3931.877  6.1432e+00  7.8117e-01           0           0
  3932.783  7.4201e+00  8.3284e-01           0           0
  3933.689  7.6897e+00  8.4629e-01           0           0
  3934.594  7.9349e+00  8.5166e-01           0           0
  3935.501  7.5052e+00  8.2044e-01           0           0
  3936.407  5.9991e+00  7.7991e-01           0           0
  3937.313  5.8104e+00  7.7433e-01           0           0
  3938.220  7.5458e+00  8.2885e-01           0           0
  3939.127  8.4073e+00  8.7702e-01           0           0
  3940.034  7.3772e+00  8.5041e-01           0           0
  3940.941  6.6837e+00  8.3790e-01           0           0
  3941.849  7.7224e+00  8.6143e-01           0           0
  3942.757  8.3033e+00  8.8132e-01           0           0
  3943.665  6.7384e+00  8.6559e-01           0           0
  3944.573  5.3509e+00  8.3391e-01           0           0
  3945.481  6.6354e+00  8.6659e-01           0           0
  3946.390  7.5839e+00  8.6432e-01           0           0
  3947.299  7.0387e+00  8.7548e-01           0           0
  3948.208  8.5205e+00  8.8807e-01           0           0
  3949.117  7.0929e+00  8.8357e-01           0           0
  3950.026  8.8331e+00  9.6832e-01           0    33554432
  3950.936  8.8466e+00  9.2251e-01           0    33554432
  3951.846  8.2135e+00  8.8578e-01           0           0
  3952.756  9.2892e+00  8.9865e-01           0           0
  3953.666  9.1406e+00  8.9775e-01           0           0
  3954.576  8.2215e+00  8.9156e-01           0           0
  3955.487  7.7941e+00  8.6546e-01           0           0
  3956.398  6.5319e+00  8.6341e-01           0           0
  3957.309  6.1508e+00  8.4027e-01           0           0
  3958.220  7.8741e+00  8.5054e-01           0           0
  3959.132  9.1833e+00  8.6271e-01           0       65536
  3960.044  9.1248e+00  8.8415e-01           0       65536
  3960.956  1.0158e+01  9.2663e-01           0       65536
  3961.868  1.0397e+01  9.3307e-01           0       65536
  3962.780  1.0377e+01  9.4982e-01           0       65536
  3963.693  1.0388e+01  8.8471e-01           0       65536
  3964.605  8.7887e+00  8.3432e-01           0           0
  3965.518  9.2262e+00  8.3183e-01           0           0
  3966.432  1.0974e+01  8.7475e-01           0           0
  3967.345  1.0121e+01  8.4505e-01           0           0
  3968.259  8.5103e+00  8.2059e-01           0           0
  3969.173  9.3180e+00  8.3047e-01           0           0
  3970.087  1.1052e+01  8.4259e-01           0           0
  3971.001  9.7268e+00  8.2462e-01           0           0
  3971.915  7.3450e+00  7.9537e-01           0           0
  3972.830  9.3035e+00  8.3246e-01           0           0
  3973.745  1.2011e+01  8.9638e-01           0           0
  3974.660  1.1412e+01  9.1671e-01           0           0
  3975.575  1.0364e+01  9.0228e-01           0           0
  3976.491  8.5693e+00  8.7123e-01           0           0
  3977.406  1.0657e+01  9.1806e-01           0           0
  3978.322  1.1557e+01  9.4657e-01           0           0
  3979.239  1.1397e+01  9.4376e-01           0           0
  3980.155  1.1773e+01  9.3806e-01           0           0
  3981.071  1.0795e+01  8.9354e-01           0           0
  3981.988  1.0967e+01  8.8617e-01           0           0
  3982.905  1.1107e+01  9.0758e-01           0           0
  3983.822  1.1370e+01  8.9884e-01           0           0
  3984.740  1.1956e+01  9.2935e-01           0           0
  3985.658  1.1983e+01  9.0935e-01           0           0
  3986.575  1.0711e+01  8.9407e-01           0           0
  3987.493  1.1626e+01  9.1599e-01           0       65536
  3988.412  1.3124e+01  9.7978e-01           0       65536
  3989.330  1.3616e+01  1.0017e+00           0       65536
  3990.249  1.2711e+01  1.0106e+00           0       65536
  3991.168  1.1418e+01  9.6556e-01           0       65536
  3992.087  1.1323e+01  9.4740e-01           0       65536
  3993.006  1.1939e+01  9.6476e-01           0           0
  3993.926  1.3804e+01  9.9078e-01           0           0
  3994.845  1.3103e+01  9.9611e-01           0           0
  3995.765  1.2467e+01  9.5860e-01           0           0
  3996.686  1.3286e+01  1.0631e+00           0    33554432
  3997.606  1.1435e+01  1.1077e+00           0    33554432
  3998.526  1.2812e+01  1.1748e+00           0    33554432
  3999.447  1.2765e+01  9.9902e-01           0           0
  4000.368  1.3901e+01  1.0114e+00           0           0
  4001.290  1.3805e+01  9.8051e-01           0           0
  4002.211  1.1282e+01  9.3091e-01           0           0
  4003.133  1.1404e+01  9.0757e-01           0           0
  4004.054  1.1770e+01  9.2238e-01           0           0
  4004.977  1.1604e+01  9.1360e-01           0           0
  4005.899  1.1820e+01  9.4983e-01           0           0
  4006.821  1.0802e+01  8.9901e-01           0           0
