# Mean_MJD=56660.209
# RMID=072 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.963
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0192
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -9.1460e-01  0.0000e+00    16777216    88080384
  3567.796 -9.1449e-01  6.0731e+00           0    71303168
  3972.830  3.1489e+00  6.5307e-01           0           0
  3973.745  4.8865e+00  7.7465e-01           0    33554432
  3974.660  4.5652e+00  8.2148e-01           0    33554432
  3975.575  3.2363e+00  7.2567e-01           0           0
  3976.491  3.0779e+00  7.3285e-01           0           0
  3977.406  3.5821e+00  7.3550e-01           0           0
  3978.322  3.2481e+00  7.2745e-01           0           0
  3979.239  2.1376e+00  7.1566e-01           0           0
  3980.155  2.7222e+00  6.6564e-01           0           0
  3981.071  3.4081e+00  6.7289e-01           0           0
  3981.988  2.7398e+00  6.4886e-01           0           0
  3982.905  2.4609e+00  6.5745e-01           0           0
  3983.822  3.7199e+00  6.8246e-01           0           0
  3984.740  2.8075e+00  6.8310e-01           0           0
  3985.658  3.1514e+00  7.1558e-01           0           0
  3986.575  3.7643e+00  7.1885e-01           0    33554432
  3987.493  2.8506e+00  7.1582e-01           0    33554432
  3988.412  2.2212e+00  7.2058e-01           0           0
  3989.330  4.3021e+00  7.7472e-01           0           0
  3990.249  3.3870e+00  7.5678e-01           0           0
  3991.168  1.8523e+00  7.1235e-01           0           0
  3992.087  2.1491e+00  7.0885e-01           0           0
  3993.006  3.5902e+00  7.4842e-01           0           0
  3993.926  3.7808e+00  7.8755e-01           0           0
  3994.845  3.4756e+00  7.7799e-01           0           0
  3995.765  3.5381e+00  7.6334e-01           0           0
  3996.686  3.0890e+00  6.7909e-01           0           0
  3997.606  2.0815e+00  6.6645e-01           0           0
  3998.526  2.0965e+00  7.0857e-01           0           0
  3999.447  4.1459e+00  7.9578e-01           0           0
  4000.368  4.2773e+00  8.1981e-01           0           0
  4001.290  3.6624e+00  7.6609e-01           0           0
  4002.211  3.7285e+00  7.2824e-01           0           0
  4003.133  4.3324e+00  7.2919e-01           0           0
  4004.054  4.3737e+00  7.3324e-01           0           0
  4004.977  3.2481e+00  7.1396e-01           0           0
  4005.899  2.4313e+00  7.0052e-01           0           0
  4006.821  1.8907e+00  6.7365e-01           0           0
